,review
242,direct exit button when back button very difficult exit from some sites like bank other password protected sites going disable crome from fhone cant directly exit from crome have back back till tabs closed
652,sound decrease issue when play video player sound equal device sound sound decreased mini shows full volume
364,really honestly ussd love this realize honestly terrible still every often suppose theres bulk programming have told have signal send text better than this google
591,very solid real complaint make anchor tags within note make table contents otherwise great application
774,immediate action needed clicking link shows saved firefox open instead opening directly this good feature more people also like change
12,connection issues everytime click link profile keep getting refresh does this whether wifi finding myself having continuously close from multitasking load periodically
551,very good delete importent picks without aney kind risk just beacouse drop
251,unbelievably support google their products hard reset android tablet could reinstall chrome because google longer supports chrome browser android install google browser would give rating could
13,external links working after updated latest version could able open links facebook says connect network after some time check your network connection same time connection network full speed this issue asap thanks
304,forgot wechat password want reopen wechat forgot password wechat wechat info also incomplete there link with facebook have telephone numbers also update remember back please help
621,websites loading taking long load when begin browsing first webpage opens fast sometimes websites load even there good mobile data connection they load with opera mini please this
297,custom emoji work custom emoji show preview some them become blank cannot send emoji please error
152,hooked cutting game hooked kicked occasions part through game
559,google sync uninstall until sync with google calendar hate having separate apps these things
2,profile time wife anybody more than post view them would take there profile that view them once when view them tells that page that requested available restarted phone even cleard cache uninstalled reinstalled still doing please thank
755,much
770,problem
475,every company should slack usually give stars slack great group company communication office home takes getting used well worth
748,loads slow even hardware considering leading news company interface very poor your almost like direct links your websites difference between resolution high resolution files paper perceivable
767,good
328,problem update showing contact there setting this prob thing fastly
336,what happened give messages time people hear outcalls please other wise would give stars
731,good untill upgrade overall opera mini good page loads faster saves time most time eventhough have good network connection will show that there network connection then when upgrade this version network speed after this update really fast when tried download song eventhough have connection downloads rate took mins download song connection really frustrated with this going uninstall
696,switch back have phone setting switch another keyboard should choose input method keyboard missing teach find that
40,when will this created automatically start with posts instead having scroll through days tweets only social that does that such headache
599,absolutely best saving documents forms notes whatever that needing have twenty different books store organize your information edit word excel documents without having save them your computer save them again into your books document different locations multiple different situations have worry about where saved just look under that need that easy
793,awesome browser really easy more importantly allows install block extension annoying love
46,have problem noticed that twitter will like nonspecific things until blue face liking certain specific things booted from have back repeat that like certain specific things gets logged have back going twitter support
769,best version better then this version
593,makes life better evernote saved bacon multiple times because could easily find picture drivers license info airline clubs receipt needed used keep info like that contacts much more difficult search that clogs your contacts plus save screenshots websites pictures anything they searchable
703,classic browsing best recently upgraded android from been using opera years actually disappointed with android first until installed mini webpages like facebook back they should please change thing using mini facebook best where donate
449,last seen showing last seen display pictures contacts mine only shows when privacy everyone show when contacts this happened after last update kindly
377,some issues love this have been having some issues lately started telling that hangouts longer supported google play send video when video chat seems really wish something like imessage regular text facetime
707,worse startup become slow mini guess this apps only highend device opera config saved font data calculation every time trying hack that bugs found
527,easy safe super easy fantastic online backup storage step verification makes this relatively safe
193,supported using panasonic frozen shadows supported will very great full will this
570,work allow
588,very useful notebook bookmark bookmarks used only record useful websites evernote does much more using this years revisiting stuff adding with raft features
801,unstable freezes crashes customisatins capabilities unmatched seems freeze much some play that other browsers even arrange bookmarks looking other browsers
573,does exactly what states thank
761,nice
448,whatsapp tips make medium base friendship stop talking your friend online find other ways interact this even whatsapp available friend will exist
782,good last update caused many forced close good last update caused many forced close really enjoy browsing experience thanks nothing
51,sony xperia very good always since last update seem able change ringtone reverts back default
729,light fast comfortable apps when compare different browser watch speed connection usage then know opera their products very good smartphone
886,loved loooooooooooooovvved because incredible awesome power make clash clans same thing butt better
580,okay wish archive notes notebooks cluttered about viewing options like grid view view notes notebooks grid view please make these things possible sure only would like that
350,viber this helps stay contact while also having video options picture options really nice pretty stable running just video audio issues well video call drops which annoying sometimes unstable mostly attributed network issues rather than itself recommend this
388,failure still have issues with group messaging images even tried fixes proposed google product forum shocking this primary mobile platform google right nexus also good hardware excuses
878,good time waster good getting spams really
492,excellent this great keep good work guys
752,rocking this best among news apps
845,nice apps
353,excellent reception amazing that lets keep touch with family friends without worry expensive mobile bills
91,unstable after daily updates stars long time this week there were daily updates latest problem pure white screen upon launch that would fine this flashlight uninstalled reinstalled still flashlight
597,fantastic helpful find this helpful have paid version really want free version love being able take photos business cards turn them into contacts also ability find text within pdfs which also extremely useful
410,just tool them throw they this electronically monitor your messages looking words once recognizes grouping words will start send adds your news feed that similar subject that which your talking about your conversations
371,hope supports dual when used default manager hangouts running very slow when opening conversation
34,camera roll please stop camera roll popping page whenever does phone mins doing
535,auto upload photos what worked super does work nexus have open photos back very
127,what point having jackpot when spin wheel never mean anyone ever jackpot think completely pointless should taken
440,occasionally receive notification message know that someone replied until actually open then suddenly lots messages come through stars that fixed
212,this update sucks open game anymore just crashed damn have going there half star option rate this would give that this asap
815,thanks much adding sanshkar kalaiya ones thanks much dont update great version
387,galaxy note note getting better much better keep working especially talk texting also what google voice please please please only text receive text from google voice reallyđ facetime from contacts update please mess with marshmallows broke please stop trying google making want come retirement come work guysđ
162,amazing upgrade love upgrade game just when thought this game better exceeds expectations good guys
481,great features notifications work title says says should getting notifications phone getting would rate stars this resolved
633,regular better powerful devices this very similar regular browser function some ways layout cleaner especially settings menu major advantage here memory usage typically this will about starting regular browser uses almost four times memory however samsung galaxy edge scroll speed very laggy stilted love sticking with full version where such occurs probably fair compare them high phone however
65,needs actual update twitter slows down tweets continue even send takes long time load tweet timeline have moblie site version actually twitter
788,shite crashes constantly test does nothing browser should obviously basic function gone testing executed prior release youtube sites that require more than browser that loads page without freezing bonus crashing operating system
370,okay complete crap have change between profiles hangouts before this much better where could always easy select wanted send hangout this completely useless
7,video issues since forced into this update videos play with black middle them edited photo grayed stays news feeds timeline even delete could give zero star would just like ever update something always working broke
645,some problems solved thank feeling good more more need play high quality youtube video default quality really worst bugs download video facebook thanks introducing play online facebook dont find anymore sure star
443,updates group should included with group status that common event there then event posted through group status group name need changed becomes difficult identify particular group particular festival there group name seems similar profile picture profile status should place seperate status have shortcut profile picture have into settings then profile then comes profile picture
477,sucks always shown offline unable send single message team
47,came here rate this give stars good optimization android this only apps that open close actually clears fully from does power unlike facebook messenger using
381,google messenger unite with hangouts dialer problem have updated android ever since update contacts mobile contacts since merge anything acts regular text messenger please need google voice hangouts dialer fail work merge
441,only request been more than whts desperately waiting feature which shows active live whts users from contacts whatsapp this feature then sure whatsapp will rock
252,bookmarks option open bookmark taken away that feature would like back also keyboard opens automatically which often want have close
295,upload photo moment before this wechat problem
148,think this game such load rubbish tries into buying stuff from instore cause dont anything then stuck part game ages worsed ever come across
108,able send requests connect able send requests connect even uninstalled this older version much much better
380,newest version receive push notifications revert original hangouts until this fixed
474,more features included there should option profile visible everyone because block people then they even send msges also more people group maximum should
566,checked credentials multiple times will authenticate
248,image search verizon ellipsis tablet function properly when image search conducted images appear gray scale with checkered background
594,enjoying unable delete items from trash either samsung phone tablet able know make this available update sometime thanks
183,would rate since update every time play world kicked game
420,chat would make changes chat colour name both people have idea update changes only person doing will
740,much average with much advertisement star star advertisement
781,firefox getting better slowly crashes regularly play video youtube otherwise promising fast browser still miss gestures swipes well organized homepage with selected bookmarks ucbrowser
798,utter garbage think would saying this firefox user myself browser utter garbage samsung galaxy browser crashes constantly switching different browser
603,good good people especially student like just think that would better become more colourful maybe colourful more colour will more attractive student like thanks
425,this made life hell really sucks cell hanged most time when there needs improve much
260,chrome browser update barrister akash fine application only like this application also love application essay browsing perfectly working have given this application star akash
790,very good reposition either remove button issue fixed while back have been happy with this while just forgot change previous review that that without problems however having gotten used chrome find myself pressing rather than link while this normally problem lately pressing causes crash please either this issue reposition lower remove altogether
26,supported phon galaxy core have been face book last year resantly have problam will create account that same problam time asking conformation code what going answer help what sent anwer email
700,opera back videos better than opera perhaps there headed there again thankyou opera just found single colume view your number
804,slow update slow firefox just keeps getting better with each update only that supports flash force close that have used kitkat keep great work guys
230,update killed game matching atks basically killed farming part game longer aquire resources upgrades your money ready because buying your resources will only
826,greatfull amazing surprise this main brightly among more like apps would other more better story historical event
186,upgrades game till developers have idea upgrades most people have stopped playing because there playing
688,best have seen hats guys
778,messed phones default screenshot setting installed everything great until noticed when held down power plus home which used take screen shot phone wants firefox search with this command after calling samsung there this short factory reset losing data thanks firefox
167,unlock frozen this update have daily challange compleat mission unlock frozen outfits players very hard find mystery this update guys please these problems
592,much going cool works using because have much going note adds useless irrelevant information like made note friends birthday says from birthday works great just wish just plain jane note like used this replace there over complicate note they works great like said takes some getting used grows
662,have word appreciate this just thank verrrry very very very much founder
376,please this option love using hangouts both when sending photo from share menu defaults plan thus costing money back hangouts quits leaving with choose want send picture hangouts costing small fortune option choose which messaging service want when sharing photo would great
27,work time update news feed says cannot connect internet internet phone works just fine uninstall reinstall fixes issue hours then starts saying cannot connect internet
575,love this keep updating this simple think this will rock soon
864,always entertaining know angry birds definitely enjoyable entertaining game help kill time only thing that like about advertisements when playing with wifi data turned they disruptive during game play
730,version better this version needs lots work find pages take much longer load tell remember passwords sites
689,thanks this loved this suggestion
331,just latest update viber again after update problems send messages when make call saying ringing sound think actually ringing nobody answers calls almost every time viber updates some part after work please asap england thank
743,great simple great apps news lover always used read news from ekantipur website this made task times easier thanks developer
823,load shedding widget syncing load shedding widget does sync otherwise awesome
720,fonts heck this thing analysing fonts really quick browsing when have wait fonts load asking opinion avoid this terrible
141,frequently resets once again reset taken stored boosters this gone about four times within couple weeks each other understand that information stored since things like your level gold retained
831,weather show please
267,chrome since last update scroll down entire page blinks blinks hurts eyes slower freezes download many sites have another browser they will download mrsgwennd
664,loved used many times more attractive every things good improve some more typeing system essy type here typeing problem
501,slick chat reactions favorite part using slack love adding
789,authority firefox firefox after wandering here there gonna come back this standard browser platform
507,only major problem provide real time notification love desktop notification very much
138,over lives game work uninstalled reinstalled lost give them back will change rating gold still there lives happy camper
844,very helpful
625,best browser short size star because facing some issue downloading items same downloading speed good speed very slow
680,excellent still needs more work keyboard fantastic english nepali conversion pretty accurate only comment improvement that need improve usability make more smooth when typing want just this keyboard even when typing english unfortunately just there with samsung google keyboards also like google keyboard feature switch between keyboard long pressing button would really helpful then stars good stuff nonetheless
866,great game much angry birds great kill time unfortunately falls short perfect numerous littering game unless free prepared butt
365,broken differently again google such small company have resources create good product latest update made camera almost black speaker stopped functioning have hold phone hear other person
63,notifications working notify about anything followers retweet likes that enabled notifications settings nothing happened
11,suck time when want something error will come could open check your internet satting else using other applications other things hance using network realy very suck
45,dammit push notifications appearing have people enabled only tweet every minutes instead them same time reinstalled countless times they appear already missed tweets other minute shouldve notified them only tweet this update liking
28,should this work anymore know what because everytime open this automatically closes message says unfortunately facebook stopped
450,refresh properly added contacts they show whatsapp refresh button luck
92,good post come random order home screen have posts have scroll down find posts which buried between week posts needs have option what order want posts
208,been months yall still havent this recent december update made gameplay lopsided that compete with anyone attack there reason invest anymore time longer protect loot shield
73,love able celebrity tweets info know love
776,shab have firefox devices more safer than internet explorer like just wish more functions like free spyware anti virus
319,contact image disappears newly added contacts pliz give stars straight away
672,thought better than multi language keyboard nowhere close main problem that does follow traditional nepali keyboard pattern this enough some post short comment enough ones likes write correct nepali
461,does support same account multiple devices security good sometimes used with then have switch that good should support same account multiple devices
614,rocks this thing great keep documents photos everything accessible devices current very slick
684,need some improvements guys personally love this easy type nepali automatically unicodes need some more features this include capslock theme customization really hard type screen tablets phones size relatively small please next update include features mentoined above then will worth thanks
427,change nicknames friend change there nicknames mine settings change nicknames change color anything please just faster
685,love hamro keybord
690,emoji please more emotions emotions little larger resolution your assets consist more emoji loading there should flip next emoji page
20,whenever post update then edit when save tells post longer available have been removed original post still page please issue
723,annoying sometimes does opera need reload pages opened later viewing have decent phone with opera could this just fine other problem occurs when reading text that requires zooming panning when scrolling down address disappears great fine when left right appears again jolting text down making loose place highly annoying still happens when toggle full screen
86,version makes harder linkedin especially find groups subscribe comment them submitting issues seem work mobile submit button never enabled this last update loser
683,very good apps obviously doubt very useful apps those loves nepali language want write nepali thanks waiting another useful apps like this
309,video capture moment where video moment want capture video cant find where capture video when slide downwards nothing came bcuz updates there video updates this problem pleasee
756,changeable really change getting news
808,almost good enough have tried lots android browsers reason being that like speed simplicity good bookmark management need tried firefox which desktop getting away from chrome because absolutely hate google everything everybody associated with seriously hate google unfortunately chrome still hands down best browser used android firefox started fine became slower glitchier used like everything except chrome
605,useful great pretty much essential part organization minor complaint that desktop program look appealing mobile that mobile version lacking some useful functions ability delete tags strikethrough text
673,excellent application develop
514,account devices
325,android platform showing contacts reduced your rating just like online status that give option identify contacts that online without having contacts there individual online status without necessarily having your disable enable personal settings useless option that work frustrated users ratings going lower lower loosing your edge specialy with response from other than automated generic privaye email
324,message notification fault notify messages real time only identify messages open therefore respond messages real time
359,slowly becoming less less functional functionality within seems diminishing hangouts does automatically compress files being sent which results many them bouncing back muted conversations still ring message received muted thread this forcing people messenger going force both third party apps
825,very good best
432,send message have active internet connection message sent connection problem
221,load since this update even load just stuck downloading content then restart uninstall install going same error please this
87,great code arrogant company linkedin should proper stewards database they have created ensure their customers optimum many gotchas paste from messages closed pretty narrow minded
611,useful very useful opinion note taking great with voice recognition being able pics brings nice presentation aspect when sharing with group functionality just needs keep improving average person perfect
224,somethings missing there possibility have your troops have theme like having wizards cloaks balloons with colored balloon pekka that literally sword wielding snowman worth those features rather than just making snow while covering some buildings with snow
865,freaking awesome real story line matter this first video game ever played obviously love almost better than super mario brother crying loud characters great cute favorite bird hall green bird gonna details love hall also pigs forts awesome rated angry birds five five game year
546,always cloud storsge been using dropbox years store music photos just about anything else never fails
21,keeps updating updates time slows phone doing crawl installs like minutes updates never produce anything different anything only phone that have issues with
649,brilliant brilliant browsing downloading fastest compared other browsers thing improve that should made safer browsing some pages does open this browser
797,inferior desktop browser love firefox desktop android version terrible crashes constantly scrolling very jerky screen rotation window resize there word wrap when answering certain forums downloaded images available forums whatsapp without rebooting phone pages very slow load both installed samsung browser chrome heads shoulders above firefox pity
416,good while working keeps messing face book must have because deleted face book works
585,edit wakelock been fixed thanks used love this latest version holding massive wakelocks burning through battery would stars without this essentially unusable please this battery will star again
553,stars this saved life multiple occasions pictures life help keep mine with
18,connect right when trying open links facebook browser receive connect right error message other items news feed continue load
122,these requests candy crush nothing getting very tired then using special candys they dont even anything anymore what clear rows clears wonder plays this anymore
291,cant find near people around unable load location data asap
417,work anymore before last update worked just fine tablet will start open then close down
817,excellent awesome very useful thanks forum connection with previous suggestion update along with planner would much better
178,great game enjoyed playing ever since downloaded this summer like much more than first challenges visuals improved well through game highly recommend
523,rubbish amount memory gives free rubbish very little compared drive they also need drop when upload dowload large files straight away generally expensive more memory need give more free memory without crazy price tiers never will drop again people there check other clouds drive gmail drive just other drives very dissapointed with dropbox
247,google chrome allows browse internet phone things seriously guys living future stars because always works
257,download issues using asus zenfon several times download anything shows text downloading please issue otherwise pretty smooth
225,star update busy always have hours play games pick when time play after update that longer true have every hours raid hours hours just level building they made game hardcore players average player
306,this update crashed with samsung phone suddenly black shut down after receiving wechat message notification after update chat backgrounds were gone blank find stickers well have uninstall know chat history will here
182,pretty good myself wait very game play
347,call disconects every seconds thats beep sound most hated sound from viber guys before uninstall other
305,after latest update friend made video call after latest update video friend voice heard friend resolve problem kind request
679,hamro keyboard this good doubt about however adding some features will definitely make best following things observed option have caps lock enabled should made available letters were available along with words also there very less options when numbers option signs which missing underscore easy toggle option between phone keyboard keyboard should made post this will star
568,only miss cache bought
561,first base having give problems synchronizing with version keeps asking login password never goes further reinstalling last time before give
101,good although most update inbox people free anymore should hand over bank details free trial complete
389,still widget come used this anymore unacceptable instead adding welcome screen with latest update they should have brought back widget
190,artifacts since months artifacts stopped appear have mission find
479,makes everything easy slack easy right ridiculously well polished features backed genuine caring honest team almost seems like they want happy even after give them your money crazy
509,free gifs reliable slower network messages frequently send
228,screen anymore ever since update screen show images used words floating thin with back ground sure help with this unis tall install
69,nice accecesible where mobile mobie data accesible that trouble anyttime immediatetely tweet which reaches near dear ones other thousands ther helpful many ways
53,changing notification sound gave developers look this here since long time checked internet please take look send reply update handset note hope update change rating again
56,good better videos sometimes notifications always responding this actually worst update please check
175,alrightđ cross wire forgot tell sound this game hate
173,theme game great some items added game frozen shadows makes challenges more
780,glitch like this browser better than chrome terms setup function wish less glitchy back button seems just lock certain website face
713,star gave this star told them would give more stars after they fixed particular problem having they fixed that problem upped stars would give happy with changes they made where have hands reach screen those functions they have bottom screen this only browser found that does have reload every page when hitting back button definite plus
112,want search connections every time open means just live with keep experience smooth
838,support service poor support service
470,ehhh first gave whatsapp stars decreasing them three there multiple reasons this send videos matter long they create feature where make custom vibrations different contacts being completely invisible when block someone wake screen when message notification choose mark message unread should reflect sender that message unread make video chat available update emojis
635,awesome good very useful very fast dowload easy anyone handle
1,messenger issues ever since last update initial received messages pushed messenger notification facebook messenger open facebook happen have message have click icon opens messenger subsequent messages through messenger unless close chat head then start over with notification having through facebook
810,nice browser there doubt that firefox best browsers there mobile great options customize browser suit your needs however this still continues secondary browser browser still fast even when loading heavy websites hope speed improves newer versions star rating
327,viber rating lacking code android phone call widget over command settings alterations screen able moved find setting turn might wanna also seems want ring android phone when make call
519,sort option working they have just provided options sort older never works
144,play every time load game freezes then goes back home screen even reinstalled many times
415,messenger facebook integration issue ever since last update initial received messages pushed messenger notification facebook messenger open facebook happen have message have click icon opens messenger subsequent messages through messenger unless close chat head then start over with notification having through facebook
366,fraud select this install installed automatically will allow uninstall google this attorney general this right
883,great game many almost worth playing
62,following back follow people that have followed back also amount people following followers also incorrect overall live appp
85,samsung note awesome business platform please consider adding edit option addition delete posts just case like correct mistake rather than delete whole thing
668,very good application ever dharai ramro kalo background malai aalikati paren hamrokeyboard team bharema sochnuna maile anurodh garchu
412,causes android device register touch this been causing issues making upper left menu devices multiple people have reported this caused your please this will rate stars
294,life here girlfriend heads thank wechat entire team
96,unable send message update this version does allows sending messages does updates status keeps suggesting come back linkedin what happened your best
379,send messages because settings have have account settings thought when would good thought wrong
693,great really liked this very useful well little upgrade should made theme possiblethen swift well best luck guys keep
595,neat idea down linux support application like evernote only useful service behind service behind concept like evernote only useful availability application program connect said service which where evernote fails natively available linux based operating systems such ubuntu sure android application works well enough when only access evernote under linux based operating system browser quickly looses appeal
472,love there should switch sign button having sign option helps maintaining your personal space keep check constant addiction usage this service help striking balance between your personal social life
318,good please reduce size running services should consume less memory background version there option show only viber accounts contacts menu shows contacts only blocked contacts should invisible after blocking show only allowed contacts thanks
671,white theme please function problem typing white version
742,takes longer time make newspaper download format takes longer time fetch newz very poor otherwise same pages repeated again again epaper segment
814,excellent excellent excellent dear hamro patro almost perfect towards perfection would like request make calendar flexible write desired dates planner available mobile phones possible your expertise
66,please include membership when viewing lists samsung android know this applies with android users general this version seem include option seeing what member user belongs viewing lists available browser though please consider including members list option
246,have organized bookmarks they recently changed bookmarks your bookmarks every time open used remember what bookmark folder were until recent update also like that folders each bookmark list using firefox
488,excellent entire team would lost without this works with exceptionally well
83,issues setting works fine issues with registering verification email initially eventually browser than works fine once like
253,many updates size please only send updates that really really necessary last every which seems keeps doing updates with room devices having languages never going waist memory
480,good free this great collabo especially since free asked things slack delivered proper viewing ability change profile from functionality complete
286,force close using asus fonepad model after last update june always keep force close reopen then failed again until this update still occur solution already version still same hope will improvised thanks
610,good ease still declining used evernote years power still there ability find notes still steady decline with lack ease needs cleaner cleaner separation functionality nowadays having click found note view instead single click showing note content disappointing this once magnificent software reduced current level confusion that many other programs exhibit well
404,every time press send button black background appears this happen before update sucks forces whatever doing stop like watching videos
58,dont download enough trump memes much netflix chill stop already please looking dumb girls that tweet everything that goes through their heads then this blessup
273,dear google hate tabs work samsung galaxy want keep tabs open because watch series once want have reopen tabs every time open chrome have habit closing running apps save usage please make feature same
445,cant emoticons have sony xperia cannot emoticons have updated twice sinxe release cant them even friend with crapberry them cant will give starts
497,rewelacja bardzo uĺźyteczne narzä dzie komunikacji zespole
229,sucks update especially multiplayer game bonuses sucks please return before system only this time getting more loots supercell stop saying playing long without shield then village under attack loose many loots crazy
67,account creation issue tried create account keeps saying create account this time
882,many even enjoy game with amount have watch every other level just ridiculous
564,unable work with google yahoo notice that still work with google yahoo which feature missing good initiative still some work done before star still thanks effort
493,wonderful project coordination this great tool have when coordinating projects keeps everyone same page communication
754,very useful watching reading saptahik kantipur
885,many more adverts than other game played know free they need make profit there needs balance
394,text notifications work loved hangouts however since months able receive text messages notifications really annoying receive voice calls invites notifications looked everywhere solution able solve problem giving frustrated
262,best agree totally with last poster chrome simply best android period tried other crap there yeah they have some more features none which ever used have chrome laptop this synced together simple direct point what like forget very fast
860,great little game this great little game completely addicted this game simple enough learn enough variety keep interested this supported game just know would happy game together however found where that
807,better background playback position firefox best looking browser android myself what hope video sounds playing smoothly when runs background since youtube ambience button being menu like other browsers make navigation easier
851,very useful
482,works fine most part sure decides sometimes notify sometimes guess something with inactivity other logged devices usually logged computers phone
724,want theme back this theme awful previously opera mini best browser think worst want news anything just return opera mini back just make awesome awful
521,good great awesome saves memory think should more features make even better should select button when moving upload pics dropbox albums real pain checking individually pictures move album once pictures album thumnail should sell many pictures currently that album could those things would
39,work after latest upgrade facebook refuses work mobile data after latest upgrade says cannot connect right
315,receive messages message always send tomorrow today please cause many problem
8,this update completely destroyed facebook loads status screen once click anything scroll goes home screen even force close just does load again finally begin scrolling even scrolls later closes this never happened before updated
276,google sent password recovery options when updating browser stars time apple windows phone platform america
783,need easy gives control openness ease clearly main goals software itself great various plugins available allow even more control customization want great
284,erroneous wechat loading location data therefore able find people nearby previous version used work fine droid version irritating this explore friends locality
245,what this google oldest browser search something when want something puffin browser then what benifit make those things possible wich possible puffin especially android phone shall thankful
655,need more preety awsm develop download task fast browser verson
372,often painfully slow needs useful tablet quick reply ability send video some these features version almost years that really excusable from company that runs android this kind thing that makes people switch makes android phone lovers ipads instead android tablets
240,favorite menu update suboptimal update puts entire list favorites into view from most recent instead returning previous folder which always this requires more time clicking desired folder please give option return previous version
293,getting hang once will chatting with someone seriously gets hang suddenly able type open wechat after mints saying wechat responding properly have stop take look
168,hanging much even using higher mobile having itself take needfull action that error
601,camera option horrible crop image sideways perfect square rectangle camscanner microsoft lens better options document images needs notebooks within notebooks camera flash always when needs takes very long time turn itself after taking picture document camera likewise needs detect edge document editing images must done within interface without going through skitch
194,very adventurous game love very nice thrilling game everyone should download play very addictive game just stick good graphics sound improved previous partđ
171,awsome this game like frozen sister site normal frozen ones keeps dieing luckerly change back normal frozen takes longer load when frozen whone window will rate stars rest awesome
38,send read message from facebook because message icon gone replaced messenger icon everytime received message have browser because dont have messenger sometimes cant even read message because dont always have wifi connection really hate since been using mobile data sometimes hope soonest
151,boosters gone last update took boosters going patient them restored will uninstalling moving happy
160,addicting game played this game long have everything complain about free game only wish that there reward completing frozen artifacts challenge think this happened other time well still game
880,love love angry birds play hours upon love challenges they threw
498,tablet support chance getting tablet support anytime soon
50,updates cool whenever favourite tweet closes saying unfortunately twitter stopped maybe just android
43,enjoy twitter extremely annoyed that swipe left right through accounts twitter pictures easily before just tapping picture takes whole tweet have super cautious accidently picture while swiping incredibly annoying please back before were want whole tweet just touch caption
180,supported your updated temple frozen shadows supported device which samsung galaxy give stars will make this updated support device plss need play that been waiting this couple months
678,found this very fruitful using please tell write
629,version browser mini disappointed search showing notification when download anything visble notification previous version request look into solve otherwise have uninstall goto some other
36,update uninstalls everytime update uninstalls what want know this using data each time update then have reinstall driving crazy please
35,good previous version much good than that text directly with current version please inbuilt messenger again
204,supercell would like skype clan chats when peaple battleing because could help them because things they dont some type healing defense town hall stars
426,chatheads disappears chatheads keep disappearing even closing sense messenger without that quick access still force closes itself even times that using
405,please something slow need update please feature directly start every chat like whatsapp have scroll hours when finally there just goes bottom danm would give stars someone solve this please expecting response
140,great going give this stars until latest update causes constantly crash force close please love playing this game
607,great solid love widget most important feature about this opinion couple things number bullet point lists show formatted when seen widget please also personally like emojis were implemented also like more control over appearance widget opacity font size color background color
446,search people have persons number they have whatsapp should able search their name then them something then would stars
726,what happened opera resent updation make browser more beautiful look than previous versions smoothness browser gone have some unique properties whwn compared other browser such data saving mode open closed problem which face that pages screen pages opend through this browser shows part screen annoying home screen browser private browsing working
24,buggy reinstall several times issues editing uploaded photo from news feed post only editable image caption then image greyed news feed like pending photo upload away also upload photo from phone gallery share albums have open upload photo select from gallery album
106,share achievements recently discovered that there feature sharing kind achievement however accomplish profile
828,dami hajur harule hernu
346,excellent long have good service works great talk family chile asia cuts have wifi excellent service
800,great problem ruins love firefox android fast efficient addons great menu problem ruins firefox will automatically turn menu based detects hardware menu button only problem gets wrong sometimes force
390,speaker working with oneplusx works okay when speaker plus stops working works skype normal calls only hangouts this issue there
705,poor data wifi transition still work with wifi networks even socket http protocol help please learn from whatsapp
234,personal break mind break necessarily think necessary especially during boost time would like told when play
539,enough space nothing these days need least store memory hungry apps every update gets bigger bigger quality functionality smaller smaller please dont that material crap evertone likes cheap material design designed lazy devs like easy lazy
587,ever useful evernote easy something down when have your smart phone tablet laptop whatever spontaneous accurate because write when place time when return your main computer your writing there waiting almost magical such time saver memory keeper
745,fully based even data connection loads pretty badly suggest look annapurna post beta kantipur network required based activities this google advertisement must used while using data what load while using this better than this suggest look annapurna post beta while using from data first loading advertisement after that loading news what bullshit coding this star
330,wish there mute button selected people like more like skype hope next update will option like mute button where mute someone that recieve notification from that particular person without deleting message blocking them that would rude that option where hide seen mark unread other than that good liked concern
554,this with dropsync dropbox autosync dropsync works dropbox should have have noticeable battery drain automatically uploads files faster than dropbox alone
375,customization dark theme color options reply directly from notification panel options change contact photos initials hide timestamps please bring back gesture that takes back conversation list swiping from left edge write message area cluttered make simplistic with sign replace visible phone number with name contact send
791,first thing thought comment freedom choice very important some people making choices well thought tony bennet good life sussinct
198,temple frozen shadows love this game much love being only thing that hate about that monster goes infront when your running further into game gets harder able pass monster
195,nice game simply amazing would like better custom options graphics runs extremely smooth developer should easy memory that takes more space than ever before overall epic game
520,safe link gallery file manager also anone easily access private photos without password restriction
199,quit download this game update sucks just money grab developers game load half time kicks before even play mention rules made make gems rather than raid supplies have used money over years years have sudden change rules farming game play these issues done from what other comments think developers even care
363,simple stuff feature lacking poor layout your basic messaging fine still lacks sending voice messages video clips slow load conversations overall recent changes make feel cloogy simple actions like opening going back message listview shows signing spinner which obviously ideal every other action especially since uses google auth services
323,mark found viber extremely efficient communicate with loved have skype well good viber
191,only stars because frozen shadow compatible device make compatible please
452,lack options closed code many options years implemented whatsapp simply copy pasting features telegram creates moved telegram which whatsapp steroids which even offers desktop integration more
423,unfollow tool does function unfollow controls work tablet friends have based messenger adjust this feature
341,voice messages problem most times recorded message delivered completely always missing part noticed that this happens when ever cellular network unstable ever disadvantage hope give
75,placement anoying know your source income placing replies taking anoying greed another level facebook more have ever them comments section
290,wechat wallet still disappears people have been using wechat wallet english ages with problems when android wechat into english wallet disappears please english android that wallet disappear when change language from chinese english wechat wallet incredibly useful only when actually
342,love viber viber excellent chatting software only tiny negative comment sometimes takes delay reach message even online stickers cool
504,perfect with animated support
608,user great have suggestions love working with devices desktop android phone integrates very well with other related apps however would give stars developers could things allow check boxes bullet items easily ordered drag drop kind deal allow duplication notes these functions already exist then hopefully someone will share figure soon enough then gladly rate stars great guys
813,installed immediately deleted this crap have used firefox desktop longer then remember will continue only desktop your only options homepage crap they want blank page with nothing bookmarked website unless want back their crappy homepage just your bookmark list mention crap
676,very good apps operating system
107,worst this newer version update might look nice stopped getting push notifications also even work most time nothing loads keeps telling again worked fine before until most recent update same other apps just gets worse worse broke
706,since update update very slow both data network wifi home work network london underground virgin network devices version number each device practically unusable present everything fine before upgrading reading other comments from only having problems high quality images helps still worse than before upgrade just discovered that previously double enlarged text sufficiently make readable enlarges tiny amount pinch zoom still required this good adage broke absolutely comes mind
